Desc_Instituicao;Modalidade;Desc_Curso
Campus São Mateus;FIC;Qualificação em Operador de Computador
Campus Guarapari;Superior;Bacharelado em Administração - Campus Guarapari
Campus São Mateus;FIC;Qualificação em Soldador no processo Mig Mag
Campus Montanha;FIC;Qualificação em Operador de Computador
Campus Montanha;FIC;Qualificação em Cuidador de Idosos
Campus São Mateus;FIC;Qualificação em Eletricista Industrial
Campus Montanha;FIC;Qualificação em Auxiliar Administrativo
Campus Montanha;FIC;Qualificação em Cuidador Infantil
Campus Cachoeiro de Itapemirim;FIC;Operador de Processos de Acabamento de Mármores e Granitos
Campus de Alegre;Integrado;Técnico em Informática Integrado ao Ensino Médio
Campus de Alegre;Superior;Bacharelado em Ciências Biológicas - Campus de Alegre
Campus Vitória;Concomitante/Subsequente;Técnico em Construção Civil com habilitação em Construção e Manutenção de Vias
Centro de Referência em Formação e em Educação a Distância;FIC;FIC/PRO - Formação de Professores da EaD
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Agricultor Familiar - Criador de Peixes em Viveiros Escavados
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Criador de Peixes em Viveiros Escavados
Campus de Alegre;Concomitante/Subsequente;Técnico em Química - Alegre
Reitoria;FIC;Operador de Computador
Campus São Mateus;FIC;Qualificação em Camareira em Meios de Hospedagem
Centro de Referência em Formação e em Educação a Distância;FIC;FIC/DI - Formação de DI para EaD
Campus Santa Teresa;FIC;Bovinocultor de Leite
Campus Santa Teresa;FIC;Gênero e Diversidade na Escola
Campus Cachoeiro de Itapemirim;Superior;Sistemas de Informação
Campus Cariacica;FIC;Aperfeiçoamento em Educação Ambiental
Campus Aracruz;FIC;Aperfeiçoamento em Educação Ambiental
Campus São Mateus;FIC;Qualificação em Almoxarife
Campus Colatina;FIC;Auxiliar de Biblioteca
Campus Colatina;FIC;Auxiliar de Tesouraria
Campus Colatina;FIC;Programador Web
Campus Colatina;FIC;Auxiliar de Recursos Humanos
Campus Cachoeiro de Itapemirim;FIC;Eletricista Industrial
Campus Cachoeiro de Itapemirim;FIC;Cuidador de Idoso
Campus Santa Teresa;FIC;Agricultor Familiar: Gerenciamento da Produção Diversificada na Pequena Propriedade
Campus Santa Teresa;FIC;Operador de Sistemas de Irrigação
Campus Santa Teresa;FIC;Operador de Máquinas e Implementos Agrícolas
Campus Montanha;Integrado;Técnico em Administração Integrado ao Ensino Médio
Campus Colatina;Superior;Tecnologia em Saneamento Ambiental
Campus de Alegre;FIC;FIC/PRONATEC - Alegre - Agricultura Familiar: Produtor de Mandioca e Derivados
Campus Aracruz;FIC;Fic - Aracruz - Curso de Inglês Aplicado a Serviços Turísticos
Campus Aracruz;FIC;FIC - Aracruz - Curso de Operador de Máquinas de Usinagem Convencionais
Campus Itapina;Pós-Graduação;Aperfeiçoamento em Educação em Ciências na EJA
Campus Piúma;FIC;INGLÊS INTERMEDIÁRIO - Noturno
Campus Colatina;Pós-Graduação;Aperfeiçoamento em Educação Matemática na EJA
Campus Aracruz;FIC;Curso Auxiliar de Biblioteca
Campus Cachoeiro de Itapemirim;Pós-Graduação;Aperfeiçoamento em Educação Matemática na EJA
Campus Cachoeiro de Itapemirim;Pós-Graduação;Curso de Aperfeiçoamento em Educação em Ciências - Campus Cachoeiro de Itapemirim - Integral
Campus Vitória;Pós-Graduação;Aperfeiçoamento em Educação Matemática na Educação Profissional Integrada à Educação Básica na modalidade de Educação de Jovens e Edultos
Campus Vitória;Pós-Graduação;Aperfeiçoamento em Educação em Ciências na Educação Profissional Integrada à Educação Básica na modalidade de Educação de Jovens e Adultos
Campus Montanha;FIC;Qualificação em Auxiliar Financeiro
Campus Montanha;FIC;Qualificação em Artesão de Biojóias
Campus Montanha;FIC;Qualificação em Auxiliar Técnico em Agropecuária
Campus Montanha;FIC;Qualificação em Contador de Histórias
Campus Montanha;FIC;Qualificação em Agente de Inclusão Digital em Centros Públicos de Acesso à Internet
Campus Montanha;FIC;Qualificação em Horticultor Orgânico
Campus Montanha;FIC;Qualificação em Agricultor Orgânico
Campus Nova Venécia;Pós-Graduação;Aperfeiçoamento em Educação Matemática  na EJA
Campus Montanha;FIC;Qualificação em Churrasqueiro
Campus Itapina;FIC;AGRICULTOR FAMILIAR - AGROINDUSTRIA - PRONATEC
